"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",4,"H0",3,"Naive","0.07877 (0.0009499)","0.1559 (0.0008142)","0.8510 (0.002514)","0.5786 (0.001349)",20052,20052
"Normal",4,"H0",3,"CBAE-SI","0.003347 (0.001124)","0.1591 (0.0008668)","—","—",20052,
"Normal",4,"H0",3,"CBAE-MI","-0.04335 (0.001356)","0.1953 (0.001086)","—","—",19731,
"Normal",4,"H0",3,"CMUE-MLE","-0.04144 (0.001512)","0.2180 (0.001278)","0.9592 (0.001397)","0.8223 (0.0009737)",20052,20052
"Normal",4,"H0",3,"CMUE-ZERO","-0.03355 (0.001569)","0.2247 (0.001295)","0.9513 (0.001520)","0.8221 (0.001000)",20052,20052
"Normal",4,"H0",3,"RB","-0.001105 (0.001546)","0.2189 (0.001223)","0.9594 (0.001394)","0.8482 (0.0008831)",20049,20048
"Normal",4,"H0",4,"Stage 2","-0.0001814 (0.001992)","0.2818 (0.001408)","0.9510 (0.001526)","1.109 (0.0000000000000000003524)",20017,20017
"Normal",4,"H0",4,"Naive","0.08013 (0.0009572)","0.1574 (0.0008237)","0.8471 (0.002544)","0.5806 (0.001377)",20017,20017
"Normal",4,"H0",4,"CBAE-SI","0.005075 (0.001130)","0.1600 (0.0008696)","—","—",20017,
"Normal",4,"H0",4,"CBAE-MI","-0.04023 (0.001358)","0.1946 (0.001087)","—","—",19660,
"Normal",4,"H0",4,"CMUE-MLE","-0.03883 (0.001507)","0.2168 (0.001279)","0.9580 (0.001418)","0.8211 (0.0009698)",20017,20017
"Normal",4,"H0",4,"CMUE-ZERO","-0.03124 (0.001564)","0.2235 (0.001290)","0.9491 (0.001553)","0.8212 (0.0009974)",20017,20017
"Normal",4,"H0",4,"RB","0.0009558 (0.001546)","0.2187 (0.001264)","0.9587 (0.001407)","0.8472 (0.0008803)",20016,20012
"Normal",4,"H1",1,"Stage 2","-0.001881 (0.001794)","0.2833 (0.001273)","0.9505 (0.001373)","1.109 (0.0000000000000000007611)",24951,24951
"Normal",4,"H1",1,"Naive","0.09430 (0.001129)","0.2017 (0.001012)","0.7798 (0.002623)","0.5453 (0.001477)",24951,24951
"Normal",4,"H1",1,"CBAE-SI","0.01276 (0.001165)","0.1845 (0.0009185)","—","—",24951,
"Normal",4,"H1",1,"CBAE-MI","-0.02495 (0.001191)","0.1889 (0.0009008)","—","—",24717,
