"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Survival",5,"Peak",2,"CMUE-ZERO","-0.02067 (0.0006550)","0.07834 (0.0005762)","0.9471 (0.001940)","0.2901 (0.0006280)",13311,13311
"Survival",5,"Peak",2,"RB","0.0009526 (0.0006216)","0.07171 (0.0005428)","0.9506 (0.001878)","0.2809 (0.0002840)",13310,13304
"Survival",5,"Peak",3,"Stage 2","-0.002738 (0.001166)","0.1333 (0.0008372)","0.9500 (0.001907)","0.5261 (0.00002567)",13070,13070
"Survival",5,"Peak",3,"Naive","-0.03678 (0.0006284)","0.08071 (0.0005836)","0.9023 (0.002597)","0.2480 (0.0001920)",13070,13070
"Survival",5,"Peak",3,"CBAE-SI","-0.002427 (0.0006225)","0.07120 (0.0004972)","—","—",13070,
"Survival",5,"Peak",3,"CBAE-MI","0.008856 (0.0006255)","0.07205 (0.0004739)","—","—",13068,
"Survival",5,"Peak",3,"CMUE-MLE","-0.007224 (0.0006249)","0.07180 (0.0005175)","0.9710 (0.001468)","0.2858 (0.0005331)",13070,13070
"Survival",5,"Peak",3,"CMUE-ZERO","-0.02062 (0.0006617)","0.07840 (0.0005789)","0.9467 (0.001964)","0.2891 (0.0006279)",13070,13070
"Survival",5,"Peak",3,"RB","0.001203 (0.0006327)","0.07234 (0.0005439)","0.9480 (0.001942)","0.2809 (0.0002864)",13070,13062
"Survival",5,"Peak",4,"Stage 2","-0.001906 (0.0005536)","0.1344 (0.0003949)","0.9511 (0.0008884)","0.5281 (0.00001560)",58962,58962
"Survival",5,"Peak",4,"Naive","-0.02775 (0.0002983)","0.07756 (0.0002888)","0.9441 (0.0009464)","0.2787 (0.0001234)",58962,58962
"Survival",5,"Peak",4,"CBAE-SI","0.0005842 (0.0003040)","0.07383 (0.0002628)","—","—",58962,
"Survival",5,"Peak",4,"CBAE-MI","0.008914 (0.0003060)","0.07483 (0.0002557)","—","—",58962,
"Survival",5,"Peak",4,"CMUE-MLE","-0.003435 (0.0003093)","0.07519 (0.0002667)","0.9616 (0.0007915)","0.3221 (0.0002262)",58962,58962
"Survival",5,"Peak",4,"CMUE-ZERO","-0.01539 (0.0003174)","0.07860 (0.0002813)","0.9491 (0.0009050)","0.3212 (0.0002693)",58962,58962
"Survival",5,"Peak",4,"RB","0.001045 (0.0003278)","0.07959 (0.0002620)","0.9603 (0.0008038)","0.3122 (0.0001311)",58957,58954
"Survival",5,"Line",1,"Stage 2","-0.0001739 (0.001972)","0.1311 (0.001429)","0.9552 (0.003113)","0.5254 (0.00003925)",4417,4417
"Survival",5,"Line",1,"Naive","-0.03834 (0.0009768)","0.07539 (0.001035)","0.9015 (0.004483)","0.2393 (0.0001932)",4417,4417
"Survival",5,"Line",1,"CBAE-SI","-0.002164 (0.0009625)","0.06400 (0.0009174)","—","—",4417,
"Survival",5,"Line",1,"CBAE-MI","0.01040 (0.0009841)","0.06621 (0.0008648)","—","—",4415,
"Survival",5,"Line",1,"CMUE-MLE","-0.006990 (0.0009693)","0.06479 (0.0009242)","0.9749 (0.002355)","0.2937 (0.001525)",4417,4417
"Survival",5,"Line",1,"CMUE-ZERO","-0.01950 (0.001040)","0.07179 (0.001033)","0.9531 (0.003180)","0.2916 (0.001476)",4417,4417
"Survival",5,"Line",1,"RB","0.001741 (0.0009940)","0.06608 (0.0009428)","0.9581 (0.003017)","0.2666 (0.0004082)",4417,4413
"Survival",5,"Line",2,"Stage 2","-0.002608 (0.001226)","0.1348 (0.0008744)","0.9504 (0.001974)","0.5261 (0.00002715)",12085,12085
"Survival",5,"Line",2,"Naive","-0.03795 (0.0006585)","0.08173 (0.0006137)","0.9001 (0.002727)","0.2485 (0.0002005)",12085,12085
"Survival",5,"Line",2,"CBAE-SI","-0.003480 (0.0006506)","0.07160 (0.0005305)","—","—",12085,
"Survival",5,"Line",2,"CBAE-MI","0.008155 (0.0006524)","0.07216 (0.0005079)","—","—",12081,
"Survival",5,"Line",2,"CMUE-MLE","-0.008354 (0.0006527)","0.07223 (0.0005528)","0.9708 (0.001532)","0.2854 (0.0005388)",12085,12085
"Survival",5,"Line",2,"CMUE-ZERO","-0.02190 (0.0006930)","0.07926 (0.0006105)","0.9444 (0.002085)","0.2894 (0.0006455)",12085,12085
"Survival",5,"Line",2,"RB","0.0006826 (0.0006586)","0.07240 (0.0005754)","0.9512 (0.001961)","0.2818 (0.0003039)",12084,12078
"Survival",5,"Line",3,"Stage 2","-0.001812 (0.0008048)","0.1335 (0.0005731)","0.9511 (0.001301)","0.5269 (0.00002023)",27518,27518
"Survival",5,"Line",3,"Naive","-0.03496 (0.0004392)","0.08081 (0.0003990)","0.9359 (0.001476)","0.2624 (0.0001694)",27518,27518
"Survival",5,"Line",3,"CBAE-SI","-0.002844 (0.0004404)","0.07310 (0.0003522)","—","—",27518,
"Survival",5,"Line",3,"CBAE-MI","0.008023 (0.0004402)","0.07346 (0.0003417)","—","—",27517,
"Survival",5,"Line",3,"CMUE-MLE","-0.007318 (0.0004416)","0.07362 (0.0003709)","0.9647 (0.001112)","0.3014 (0.0003223)",27518,27518
"Survival",5,"Line",3,"CMUE-ZERO","-0.02089 (0.0004631)","0.07960 (0.0003994)","0.9458 (0.001365)","0.3061 (0.0004171)",27518,27518
"Survival",5,"Line",3,"RB","0.001506 (0.0004597)","0.07628 (0.0003703)","0.9564 (0.001231)","0.2992 (0.0002131)",27518,27514
"Survival",5,"Line",4,"Stage 2","-0.001913 (0.0005766)","0.1349 (0.0004117)","0.9504 (0.0009285)","0.5281 (0.00001639)",54690,54690
"Survival",5,"Line",4,"Naive","-0.02895 (0.0003116)","0.07840 (0.0003034)","0.9427 (0.0009940)","0.2793 (0.0001288)",54690,54690
"Survival",5,"Line",4,"CBAE-SI","-0.0003124 (0.0003173)","0.07420 (0.0002755)","—","—",54690,
"Survival",5,"Line",4,"CBAE-MI","0.008620 (0.0003194)","0.07520 (0.0002668)","—","—",54690,
"Survival",5,"Line",4,"CMUE-MLE","-0.004365 (0.0003227)","0.07558 (0.0002794)","0.9619 (0.0008189)","0.3225 (0.0002344)",54690,54690
"Survival",5,"Line",4,"CMUE-ZERO","-0.01667 (0.0003315)","0.07930 (0.0002958)","0.9479 (0.0009502)","0.3215 (0.0002790)",54690,54690
"Survival",5,"Line",4,"RB","0.001024 (0.0003425)","0.08009 (0.0002738)","0.9598 (0.0008403)","0.3138 (0.0001395)",54687,54684
